C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Date,CountryName,RegionName,PrescriptionIndex
0,0,0,0,0,0,0,0,2,1,0,0,2021-02-15,Aruba,,0
0,0,0,0,0,0,0,0,2,0,0,0,2021-02-16,Aruba,,0
0,0,0,0,0,0,0,0,2,0,0,0,2021-02-17,Aruba,,0
0,0,0,0,0,0,0,0,2,0,0,0,2021-02-18,Aruba,,0
0,0,0,0,0,0,0,0,2,0,0,0,2021-02-19,Aruba,,0
0,0,0,0,0,0,0,0,2,0,0,0,2021-02-20,Aruba,,0
1,0,0,0,0,0,0,0,2,3,0,0,2021-02-15,Aruba,,1
0,0,0,0,0,0,0,0,2,3,0,0,2021-02-16,Aruba,,1
0,0,0,0,0,0,0,0,2,3,0,0,2021-02-17,Aruba,,1
0,0,0,0,0,0,0,0,2,3,0,0,2021-02-18,Aruba,,1
0,0,0,0,0,0,0,0,2,2,0,0,2021-02-19,Aruba,,1
0,0,0,0,0,0,0,0,2,1,0,0,2021-02-20,Aruba,,1
3,0,0,0,0,0,0,0,2,3,0,0,2021-02-15,Aruba,,2
2,0,0,0,0,0,0,0,2,3,0,0,2021-02-16,Aruba,,2
2,0,0,0,0,0,0,0,2,3,0,0,2021-02-17,Aruba,,2
1,0,0,0,0,0,0,0,2,3,0,0,2021-02-18,Aruba,,2
0,0,0,0,0,0,0,0,2,3,0,0,2021-02-19,Aruba,,2
0,0,0,0,0,0,0,0,2,3,0,0,2021-02-20,Aruba,,2
3,0,0,0,0,0,0,0,2,3,0,0,2021-02-15,Aruba,,3
3,0,0,0,0,0,0,0,2,3,0,0,2021-02-16,Aruba,,3
3,0,0,0,0,0,0,0,2,3,0,0,2021-02-17,Aruba,,3
3,0,0,0,0,0,0,0,2,3,0,0,2021-02-18,Aruba,,3
3,0,0,0,0,0,0,0,2,3,0,0,2021-02-19,Aruba,,3
1,0,0,0,0,0,0,0,2,3,0,0,2021-02-20,Aruba,,3
3,3,0,0,0,0,0,0,2,3,0,0,2021-02-15,Aruba,,4
3,2,0,0,0,0,0,0,2,3,0,0,2021-02-16,Aruba,,4
3,1,0,0,0,0,0,0,2,3,0,0,2021-02-17,Aruba,,4
3,0,0,0,0,0,0,0,2,3,0,0,2021-02-18,Aruba,,4
3,0,0,0,0,0,0,0,2,3,0,0,2021-02-19,Aruba,,4
3,0,0,0,0,0,0,0,2,3,0,0,2021-02-20,Aruba,,4
3,3,0,0,0,0,0,0,2,3,0,0,2021-02-15,Aruba,,5
3,3,0,0,0,0,0,0,2,3,0,0,2021-02-16,Aruba,,5
3,2,0,0,0,0,0,0,2,3,0,0,2021-02-17,Aruba,,5
3,2,0,0,0,0,0,0,2,3,0,0,2021-02-18,Aruba,,5
3,0,0,0,0,0,0,0,2,3,0,0,2021-02-19,Aruba,,5
3,0,0,0,0,0,0,0,2,3,0,0,2021-02-20,Aruba,,5
3,3,0,0,0,0,0,0,2,3,0,0,2021-02-15,Aruba,,6
3,3,0,0,0,0,0,0,2,3,0,0,2021-02-16,Aruba,,6
3,3,0,0,0,0,0,0,2,3,0,0,2021-02-17,Aruba,,6
3,3,0,0,0,0,0,0,2,3,0,0,2021-02-18,Aruba,,6
3,3,0,0,0,0,0,0,2,3,0,0,2021-02-19,Aruba,,6
3,1,0,0,0,0,0,0,2,3,0,0,2021-02-20,Aruba,,6
3,3,0,0,0,0,0,3,2,3,0,0,2021-02-15,Aruba,,7
3,3,0,0,0,0,0,3,2,3,0,0,2021-02-16,Aruba,,7
3,3,0,0,0,0,0,3,2,3,0,0,2021-02-17,Aruba,,7
3,3,0,0,0,0,0,2,2,3,0,0,2021-02-18,Aruba,,7
3,3,0,0,0,0,0,2,2,3,0,0,2021-02-19,Aruba,,7
3,3,0,0,0,0,0,1,2,3,0,0,2021-02-20,Aruba,,7
3,3,0,3,2,0,0,4,2,3,0,0,2021-02-15,Aruba,,8
3,3,0,2,2,0,0,4,2,3,0,0,2021-02-16,Aruba,,8
3,3,0,2,2,0,0,4,2,3,0,0,2021-02-17,Aruba,,8
3,3,0,2,2,0,0,4,2,3,0,0,2021-02-18,Aruba,,8
3,3,0,2,1,0,0,4,2,3,0,0,2021-02-19,Aruba,,8
3,3,0,1,1,0,0,4,2,3,0,0,2021-02-20,Aruba,,8
3,3,0,4,2,0,2,4,2,3,0,0,2021-02-15,Aruba,,9
3,3,0,4,2,0,2,4,2,3,0,0,2021-02-16,Aruba,,9
3,3,0,4,2,0,2,4,2,3,0,0,2021-02-17,Aruba,,9
3,3,0,4,2,0,1,4,2,3,0,0,2021-02-18,Aruba,,9
3,3,0,4,2,0,0,4,2,3,0,0,2021-02-19,Aruba,,9
3,3,0,2,2,0,0,4,2,3,0,0,2021-02-20,Aruba,,9
0,0,0,4,0,0,0,0,0,0,0,0,2021-02-15,Peru,,0
0,0,0,4,0,0,0,0,0,0,0,0,2021-02-16,Peru,,0
0,0,0,4,0,0,0,0,0,0,0,0,2021-02-17,Peru,,0
0,0,0,3,0,0,0,0,0,0,0,0,2021-02-18,Peru,,0
0,0,0,3,0,0,0,0,0,0,0,0,2021-02-19,Peru,,0
0,0,0,1,0,0,0,0,0,0,0,0,2021-02-20,Peru,,0
0,0,0,4,0,0,2,0,0,2,0,0,2021-02-15,Peru,,1
0,0,0,4,0,0,2,0,0,2,0,0,2021-02-16,Peru,,1
0,0,0,4,0,0,2,0,0,1,0,0,2021-02-17,Peru,,1
0,0,0,4,0,0,2,0,0,1,0,0,2021-02-18,Peru,,1
0,0,0,4,0,0,2,0,0,1,0,0,2021-02-19,Peru,,1
0,0,0,4,0,0,2,0,0,0,0,0,2021-02-20,Peru,,1
0,2,0,4,0,0,2,0,0,2,0,0,2021-02-15,Peru,,2
0,2,0,4,0,0,2,0,0,2,0,0,2021-02-16,Peru,,2
0,1,0,4,0,0,2,0,0,2,0,0,2021-02-17,Peru,,2
0,0,0,4,0,0,2,0,0,2,0,0,2021-02-18,Peru,,2
0,0,0,4,0,0,2,0,0,2,0,0,2021-02-19,Peru,,2
0,0,0,4,0,0,2,0,0,0,0,0,2021-02-20,Peru,,2
0,3,0,4,0,0,2,0,0,2,0,0,2021-02-15,Peru,,3
0,3,0,4,0,0,2,0,0,2,0,0,2021-02-16,Peru,,3
0,2,0,4,0,0,2,0,0,2,0,0,2021-02-17,Peru,,3
0,2,0,4,0,0,2,0,0,2,0,0,2021-02-18,Peru,,3
0,1,0,4,0,0,2,0,0,2,0,0,2021-02-19,Peru,,3
0,0,0,4,0,0,2,0,0,1,0,0,2021-02-20,Peru,,3
0,3,0,4,0,0,2,0,0,2,0,0,2021-02-15,Peru,,4
